codigo_carga;tipo_asignatura;codigo_asignatura;Asignatura;Seccion;Horario;Dias;inscritos_materia;parcial;fechaparcial;Fecha_Registro;asistencia;TipoExamen;Coordinacion_Catedra;Coordinador_Catedratico;Escuela;Facultad,
IB2-H_05_02-2020;P;IB2-H;INGLES BASICO II;5;18:05-19:35;Lu-Mie-Vie;28;2;23/9/2020;24/9/2020 17:54;28;Ordinario;INGLÉS;Armando García Díaz;Escuela de Idiomas;Facultad de Ciencias Sociales,
PSD1-H_04_02-2020;P;PSD1-H;PSICOLOGIA DEL DESARROLLO I;4;09:30-11:00;Ma-Jue;75;2;24/9/2020;24/9/2020 18:24;72;Ordinario;COMPETENCIAS GENERALES;Oscar Gilberto Hernández;Escuela de Psicología;Facultad de Ciencias Sociales,
IB2-H_05_02-2020;P;IB2-H;INGLES BASICO II;5;18:05-19:35;Lu-Mie-Vie;28;1;26/8/2020;24/9/2020 17:56;27;Ordinario;INGLÉS;Armando García Díaz;Escuela de Idiomas;Facultad de Ciencias Sociales,
DEIN-H_05_02-2020;P;DEIN-H;DESARROLLO INDIVIDUAL;5;18:40-20:10;Lu-Mie;94;2;23/9/2020;24/9/2020 18:15;90;Ordinario;COMPETENCIAS GENERALES;Oscar Gilberto Hernández;Escuela de Psicología;Facultad de Ciencias Sociales,
FOPU-H_03_02-2020;P;FOPU-H;FOTOGRAFIA PUBLICITARIA;3;17:00-18:30;Ma-Jue;24;2;24/9/2020;25/9/2020 17:08;20;Ordinario;FOTOGRAFÍA;Norman Noel Alas Trujillo;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
COA1-I_02_02-2020;P;COA1-I;COMPRENSIÓN AUDITIVA I;2;17:00-18:30;Ma-Jue;23;2;24/9/2020;24/9/2020 18:38;23;Ordinario;LENGUA INGLESA;Julio Aníbal Blanco Escobar;Escuela de Idiomas;Facultad de Ciencias Sociales,
PSEM-H_04_02-2020;P;PSEM-H;PSICOLOGIA EMPRESARIAL;4;18:40-20:10;Lu-Mie;62;2;23/9/2020;24/9/2020 18:42;61;Ordinario;COMPETENCIAS GENERALES;Oscar Gilberto Hernández;Escuela de Psicología;Facultad de Ciencias Sociales,
PSEM-H_04_02-2020;P;PSEM-H;PSICOLOGIA EMPRESARIAL;4;18:40-20:10;Lu-Mie;62;1;26/8/2020;24/9/2020 18:43;62;Ordinario;COMPETENCIAS GENERALES;Oscar Gilberto Hernández;Escuela de Psicología;Facultad de Ciencias Sociales,
TPDA-H_01_02-2020;P;TPDA-H;TRATAMIENTO PSICOLOGICO DEL ADULTO;1;06:30-08:00;Mie-Sab;31;2;23/9/2020;24/9/2020 19:05;30;Ordinario;ESPECIALIDAD CLINICA;Heesy Carolina Vides De Rivas;Escuela de Psicología;Facultad de Ciencias Sociales,
TPDA-H_01_02-2020;P;TPDA-H;TRATAMIENTO PSICOLOGICO DEL ADULTO;1;06:30-08:00;Mie-Sab;31;1;26/8/2020;24/9/2020 19:05;30;Ordinario;ESPECIALIDAD CLINICA;Heesy Carolina Vides De Rivas;Escuela de Psicología;Facultad de Ciencias Sociales,
II1-H_02_02-2020;P;II1-H;INGLES INTERMEDIO I;2;18:05-19:35;Lu-Mie-Vie;15;2;23/9/2020;24/9/2020 18:59;15;Ordinario;INGLÉS;Armando García Díaz;Escuela de Idiomas;Facultad de Ciencias Sociales,
II1-H_02_02-2020;P;II1-H;INGLES INTERMEDIO I;2;18:05-19:35;Lu-Mie-Vie;15;1;26/8/2020;24/9/2020 19:02;15;Ordinario;INGLÉS;Armando García Díaz;Escuela de Idiomas;Facultad de Ciencias Sociales,
IEHT-I_02_02-2020;P;IEHT-I;INGLES ESPECIALIZADO EN HOTELERIA Y TURISMO;2;18:40-20:10;Lu-Mie;33;2;23/9/2020;24/9/2020 19:18;33;Ordinario;ESPECIALIDADES;Mercedes Carolina Pinto Benítez;Escuela de Idiomas;Facultad de Ciencias Sociales,
IA1-H_02_02-2020;P;IA1-H;INGLES AVANZADO I;2;18:05-19:35;Lu-Mie-Vie;9;1;26/8/2020;24/9/2020 19:48;9;Ordinario;INGLÉS;Armando García Díaz;Escuela de Idiomas;Facultad de Ciencias Sociales,
IA1-H_02_02-2020;P;IA1-H;INGLES AVANZADO I;2;18:05-19:35;Lu-Mie-Vie;9;2;23/9/2020;24/9/2020 19:48;8;Ordinario;INGLÉS;Armando García Díaz;Escuela de Idiomas;Facultad de Ciencias Sociales,
INGC2-I_01_02-2020;P;INGC2-I;INGLES PARA COMUNICACIONES II;1;06:30-08:00;Lu-Mie-Vie;35;1;26/8/2020;24/9/2020 19:28;35;Ordinario;INGLÉS;Armando García Díaz;Escuela de Idiomas;Facultad de Ciencias Sociales,
INGC2-I_01_02-2020;P;INGC2-I;INGLES PARA COMUNICACIONES II;1;06:30-08:00;Lu-Mie-Vie;35;2;23/9/2020;25/9/2020 14:44;32;Ordinario;INGLÉS;Armando García Díaz;Escuela de Idiomas;Facultad de Ciencias Sociales,
PSIG-H_05_02-2020;P;PSIG-H;PSICOLOGIA GENERAL;5;18:40-20:10;Lu-Mie;21;2;23/9/2020;24/9/2020 20:47;17;Ordinario;COMPETENCIAS GENERALES;Oscar Gilberto Hernández;Escuela de Psicología;Facultad de Ciencias Sociales,
PSCC-H_03_02-2020;P;PSCC-H;PSICOLOGIA DE LA COMUNICACION;3;18:40-20:10;Lu-Mie;39;2;23/9/2020;24/9/2020 20:48;38;Ordinario;COMPETENCIAS GENERALES;Oscar Gilberto Hernández;Escuela de Psicología;Facultad de Ciencias Sociales,
TTI-H_02_02-2020;P;TTI-H;TECNICAS DE TRADUCCIONES E INTERPRETACION;2;18:40-20:10;Lu-Mie;38;2;23/9/2020;24/9/2020 20:54;35;Ordinario;ESPECIALIDADES;Mercedes Carolina Pinto Benítez;Escuela de Idiomas;Facultad de Ciencias Sociales,
PSF1-H_02_02-2020;P;PSF1-H;PSICOFISIOLOGIA;2;18:40-20:10;Lu-Mie;46;2;23/9/2020;24/9/2020 21:18;43;Ordinario;COMPETENCIAS BÁSICAS E INVESTIGACIÓN;Claudia Mercedes Membreño Chacón;Escuela de Psicología;Facultad de Ciencias Sociales,
TPDA-H_02_02-2020;P;TPDA-H;TRATAMIENTO PSICOLOGICO DEL ADULTO;2;18:40-20:10;Lu-Mie;95;2;23/9/2020;24/9/2020 22:27;90;Ordinario;ESPECIALIDAD CLINICA;Heesy Carolina Vides De Rivas;Escuela de Psicología;Facultad de Ciencias Sociales,
TPDA-H_02_02-2020;P;TPDA-H;TRATAMIENTO PSICOLOGICO DEL ADULTO;2;18:40-20:10;Lu-Mie;95;1;26/8/2020;24/9/2020 22:27;96;Ordinario;ESPECIALIDAD CLINICA;Heesy Carolina Vides De Rivas;Escuela de Psicología;Facultad de Ciencias Sociales,
INGC5-I_01_02-2020;P;INGC5-I;INGLES PARA COMUNICACIONES V ;1;06:30-08:00;Ma-Jue-Sab;16;2;24/9/2020;24/9/2020 23:55;15;Ordinario;INGLÉS;Armando García Díaz;Escuela de Idiomas;Facultad de Ciencias Sociales,
FONO-I_02_02-2020;P;FONO-I;FONOLOGIA;2;09:30-11:00;Ma-Jue;61;2;24/9/2020;24/9/2020 23:58;58;Ordinario;LENGUA INGLESA;Julio Aníbal Blanco Escobar;Escuela de Idiomas;Facultad de Ciencias Sociales,
LCI1-H_01_02-2020;P;LCI1-H;LECTURA Y CONVERSACION EN INGLES I;1;06:30-08:00;Ma-Jue;84;1;27/8/2020;25/9/2020 06:10;83;Ordinario;LENGUA INGLESA;Julio Aníbal Blanco Escobar;Escuela de Idiomas;Facultad de Ciencias Sociales,
LCI1-H_01_02-2020;P;LCI1-H;LECTURA Y CONVERSACION EN INGLES I;1;06:30-08:00;Ma-Jue;84;2;24/9/2020;25/9/2020 08:23;79;Ordinario;LENGUA INGLESA;Julio Aníbal Blanco Escobar;Escuela de Idiomas;Facultad de Ciencias Sociales,
LCI1-H_01_02-2020;P;LCI1-H;LECTURA Y CONVERSACION EN INGLES I;1;06:30-08:00;Ma-Jue;84;1;25/9/2020;25/9/2020 06:11;1;Diferido;LENGUA INGLESA;Julio Aníbal Blanco Escobar;Escuela de Idiomas;Facultad de Ciencias Sociales,
EXOE-H_06_02-2020;P;EXOE-H;EXPRESION ORAL Y ESCRITA DEL ESPAÑOL ;6;09:30-11:00;Mie-Sab;33;2;23/9/2020;25/9/2020 06:22;32;Ordinario;CASTELLANO;Morena Guadalupe Magaña De Hernández;Escuela de Idiomas;Facultad de Ciencias Sociales,
EXOE-H_06_02-2020;P;EXOE-H;EXPRESION ORAL Y ESCRITA DEL ESPAÑOL ;6;09:30-11:00;Mie-Sab;33;1;26/8/2020;25/9/2020 06:23;32;Ordinario;CASTELLANO;Morena Guadalupe Magaña De Hernández;Escuela de Idiomas;Facultad de Ciencias Sociales,
PSLA-H_01_02-2020;P;PSLA-H;PSICOLOGIA LABORAL;1;06:30-08:00;Ma-Jue;49;1;27/8/2020;25/9/2020 06:35;46;Ordinario;ESPECIALIDAD LABORAL Y EDUCATIVA;Elisa María Vega Rodríguez;Escuela de Psicología;Facultad de Ciencias Sociales,
PSLA-H_01_02-2020;P;PSLA-H;PSICOLOGIA LABORAL;1;06:30-08:00;Ma-Jue;49;2;24/9/2020;25/9/2020 06:35;46;Ordinario;ESPECIALIDAD LABORAL Y EDUCATIVA;Elisa María Vega Rodríguez;Escuela de Psicología;Facultad de Ciencias Sociales,
FOTO-H_02_02-2020;P;FOTO-H;FOTOGRAFIA;2;06:30-08:00;Ma-Jue;55;2;24/9/2020;25/9/2020 06:39;53;Ordinario;FOTOGRAFÍA;Norman Noel Alas Trujillo;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
FOTO-H_02_02-2020;P;FOTO-H;FOTOGRAFIA;2;06:30-08:00;Ma-Jue;55;1;27/8/2020;25/9/2020 06:39;51;Ordinario;FOTOGRAFÍA;Norman Noel Alas Trujillo;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
REP2-H_01_02-2020;P;REP2-H;RELACIONES PUBLICAS II;1;06:30-08:00;Ma-Jue;83;1;27/8/2020;25/9/2020 07:00;81;Ordinario;COMUNICACIÓN ESPECIALIZADA;Aldo Valentín Maldonado Ortiz;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
EPRO-AC_09_02-2020;P;EPRO-AC;ETICA;9;17:00-18:30;Ma-Jue;112;1;27/8/2020;25/9/2020 07:18;109;Ordinario;FILOSOFÍA;Ruben Antonio Funez;Escuela de Antropología;Facultad de Ciencias Sociales,
PPT1-H_01_02-2020;P;PPT1-H;PSICO-PATOLOGIA I;1;06:30-08:00;Ma-Jue;65;2;24/9/2020;25/9/2020 07:52;60;Ordinario;ESPECIALIDAD CLINICA;Heesy Carolina Vides De Rivas;Escuela de Psicología;Facultad de Ciencias Sociales,
INI5-I_01_02-2020;P;INI5-I;INGLES PARA NEGOCIOS V;1;06:30-08:00;Ma-Jue;8;1;27/8/2020;25/9/2020 08:03;8;Ordinario;INGLÉS;Armando García Díaz;Escuela de Idiomas;Facultad de Ciencias Sociales,
INI5-I_01_02-2020;P;INI5-I;INGLES PARA NEGOCIOS V;1;06:30-08:00;Ma-Jue;8;2;24/9/2020;25/9/2020 08:03;8;Ordinario;INGLÉS;Armando García Díaz;Escuela de Idiomas;Facultad de Ciencias Sociales,
ING2-H_07_02-2020;P;ING2-H;INGLES II ;7;17:00-18:30;Ma-Jue;83;1;27/8/2020;25/9/2020 08:06;79;Ordinario;INGLÉS;Armando García Díaz;Escuela de Idiomas;Facultad de Ciencias Sociales,
REA1-A_02_02-2020;P;REA1-A;REALIDAD NACIONAL;2;06:30-08:00;Lu-Vie;38;2;25/9/2020;25/9/2020 08:11;32;Ordinario;REALIDAD NACIONAL;Adilia Del Rosario Valenzuela De Rivas;Escuela de Antropología;Facultad de Ciencias Sociales,
STCC-H_01_02-2020;P;STCC-H;SEMINARIO TALLER DE COMPETENCIAS;1;06:30-08:00;Lu-Vie;35;2;25/9/2020;28/9/2020 06:25;30;Ordinario;CASTELLANO;Morena Guadalupe Magaña De Hernández;Escuela de Idiomas;Facultad de Ciencias Sociales,
TENT-H_01_02-2020;P;TENT-H;TECNICAS DE ENTREVISTA;1;06:30-08:00;Lu-Vie;29;2;25/9/2020;25/9/2020 08:15;29;Ordinario;ESPECIALIDAD LABORAL Y EDUCATIVA;Elisa María Vega Rodríguez;Escuela de Psicología;Facultad de Ciencias Sociales,
TENT-H_01_02-2020;P;TENT-H;TECNICAS DE ENTREVISTA;1;06:30-08:00;Lu-Vie;29;1;28/8/2020;25/9/2020 08:15;29;Ordinario;ESPECIALIDAD LABORAL Y EDUCATIVA;Elisa María Vega Rodríguez;Escuela de Psicología;Facultad de Ciencias Sociales,
PUB2-H_02_02-2020;P;PUB2-H;PUBLICIDAD II;2;17:00-18:30;Ma-Jue;61;1;27/8/2020;25/9/2020 08:23;60;Ordinario;COMUNICACIÓN ESPECIALIZADA;Aldo Valentín Maldonado Ortiz;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
PUB2-H_02_02-2020;P;PUB2-H;PUBLICIDAD II;2;17:00-18:30;Ma-Jue;61;2;24/9/2020;25/9/2020 08:23;60;Ordinario;COMUNICACIÓN ESPECIALIZADA;Aldo Valentín Maldonado Ortiz;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
ORAI-H_01_02-2020;P;ORAI-H;ORATORIA Y PROTOCOLO EN INGLES;1;06:30-08:00;Lu-Vie;102;1;28/8/2020;9/10/2020 08:05;101;Ordinario;ESPECIALIDADES;Mercedes Carolina Pinto Benítez;Escuela de Idiomas;Facultad de Ciencias Sociales,
EPRO-AC_01_02-2020;P;EPRO-AC;ETICA;1;06:30-08:00;Lu-Vie;101;2;25/9/2020;26/9/2020 08:32;96;Ordinario;FILOSOFÍA;Ruben Antonio Funez;Escuela de Antropología;Facultad de Ciencias Sociales,
EXOE-H_05_02-2020;P;EXOE-H;EXPRESION ORAL Y ESCRITA DEL ESPAÑOL ;5;09:30-11:00;Ma-Jue;75;2;24/9/2020;25/9/2020 08:35;69;Ordinario;CASTELLANO;Morena Guadalupe Magaña De Hernández;Escuela de Idiomas;Facultad de Ciencias Sociales,
EXOE-H_05_02-2020;P;EXOE-H;EXPRESION ORAL Y ESCRITA DEL ESPAÑOL ;5;09:30-11:00;Ma-Jue;75;1;27/8/2020;25/9/2020 08:38;74;Ordinario;CASTELLANO;Morena Guadalupe Magaña De Hernández;Escuela de Idiomas;Facultad de Ciencias Sociales,
REA1-A_09_02-2020;P;REA1-A;REALIDAD NACIONAL;9;09:30-11:00;Ma-Jue;21;2;24/9/2020;25/9/2020 09:08;19;Ordinario;REALIDAD NACIONAL;Adilia Del Rosario Valenzuela De Rivas;Escuela de Antropología;Facultad de Ciencias Sociales,
PSO2-H_01_02-2020;P;PSO2-H;PSICOLOGIA ORGANIZACIONAL II;1;06:30-08:00;Ma-Jue;26;2;24/9/2020;25/9/2020 09:20;26;Ordinario;ESPECIALIDAD LABORAL Y EDUCATIVA;Elisa María Vega Rodríguez;Escuela de Psicología;Facultad de Ciencias Sociales,
PSD1-H_01_02-2020;P;PSD1-H;PSICOLOGIA DEL DESARROLLO I;1;09:30-11:00;Ma-Jue;79;2;24/9/2020;25/9/2020 09:31;79;Ordinario;COMPETENCIAS GENERALES;Oscar Gilberto Hernández;Escuela de Psicología;Facultad de Ciencias Sociales,
CND-I_01_02-2020;P;CND-I;CONSULTA DE DATOS EN BASES DE DATOS;1;18:40-20:10;Ma-Jue;8;2;22/9/2020;22/9/2020 22:22;8;Ordinario;DESARROLLO DE SISTEMAS;Jose Oswaldo Barrera Montes;Escuela de Informática;Facultad de Informática y Ciencias Aplicadas,
ETS1-T_01_02-2020;P;ETS1-T;DESARROLLO DE REDES DE DATOS I;1;17:00-18:30;Lu-Mie;75;1;22/9/2020;22/9/2020 22:22;1;Diferido;REDES;Oscar Bertony Pineda;Escuela de Informática;Facultad de Informática y Ciencias Aplicadas,
DOMO-T_01_02-2020;P;DOMO-T;DOMÓTICA;1;18:40-20:10;Ma-Jue;9;2;22/9/2020;22/9/2020 22:44;9;Ordinario;ELECTRONICA;Jose Mauricio Rivera Mejia;Escuela de Informática;Facultad de Informática y Ciencias Aplicadas,
PROG1-I_01_02-2020;P;PROG1-I;PROGRAMACION I;1;08:00-09:30;Ma-Jue;73;2;22/9/2020;22/9/2020 22:51;69;Ordinario;PROGRAMACION;Lilian Noemi Romero De Leiva;Escuela de Informática;Facultad de Informática y Ciencias Aplicadas,
MPRO-I_03_02-2020;P;MPRO-I;METODOS PROBABILISTICOS ;3;18:40-20:10;Ma-Jue;64;2;22/9/2020;22/9/2020 23:42;50;Ordinario;MATEMATICAS Y FISICA;Genaro Antonio Hernandez Lemus;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
INF1-I_07_02-2020;P;INF1-I;INFORMATICA;7;18:40-20:10;Ma-Jue;63;2;22/9/2020;7/10/2020 10:52;61;Ordinario;SISTEMAS INFORMATICOS;Maria Eva Carranza Rivas;Escuela de Informática;Facultad de Informática y Ciencias Aplicadas,
INF1I-I_01_02-2020;P;INF1I-I;INFORMATICA;1;08:00-09:30;Ma-Jue;84;2;22/9/2020;7/10/2020 20:07;81;Ordinario;PROCESOS INDUSTRIALES;Augusto Antonio Villalta;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
MATE-E_04_02-2020;P;MATE-E;MATEMATICA I;4;14:30-16:00;Ma-Jue;43;2;22/9/2020;23/9/2020 00:06;39;Ordinario;MATEMATICAS Y FISICA;Genaro Antonio Hernandez Lemus;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
INF1-I_12_02-2020;P;INF1-I;INFORMATICA;12;08:00-09:30;Ma-Jue;82;2;22/9/2020;23/9/2020 00:16;77;Ordinario;SISTEMAS INFORMATICOS;Maria Eva Carranza Rivas;Escuela de Informática;Facultad de Informática y Ciencias Aplicadas,
INF1-I_12_02-2020;P;INF1-I;INFORMATICA;12;08:00-09:30;Ma-Jue;82;1;23/9/2020;23/9/2020 00:18;1;Diferido;SISTEMAS INFORMATICOS;Maria Eva Carranza Rivas;Escuela de Informática;Facultad de Informática y Ciencias Aplicadas,
INF1-T_01_02-2020;P;INF1-T;INFORMATICA GENERAL ;1;17:00-18:30;Lu-Mie;52;1;23/9/2020;23/9/2020 00:20;2;Diferido;SISTEMAS INFORMATICOS;Maria Eva Carranza Rivas;Escuela de Informática;Facultad de Informática y Ciencias Aplicadas,
INF1-I_04_02-2020;P;INF1-I;INFORMATICA;4;09:00-12:00;Mie;57;1;23/9/2020;23/9/2020 00:22;1;Diferido;SISTEMAS INFORMATICOS;Maria Eva Carranza Rivas;Escuela de Informática;Facultad de Informática y Ciencias Aplicadas,
CAL3-I_03_02-2020;P;CAL3-I;MATEMATICA IV ;3;18:40-20:10;Ma-Jue;36;2;22/9/2020;5/10/2020 08:02;34;Ordinario;MATEMATICAS Y FISICA;Genaro Antonio Hernandez Lemus;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
OCOM-I_02_02-2020;P;OCOM-I;ORGANIZACION DE LAS COMPUTADORAS;2;08:00-09:30;Ma-Jue;114;2;22/9/2020;29/9/2020 11:45;109;Ordinario;HARDWARE;Marvin Elenilson Hernandez Montoya;Escuela de Informática;Facultad de Informática y Ciencias Aplicadas,
ELCA-T_01_02-2020;P;ELCA-T;ELECTRONICA ANALOGICA;1;08:00-09:30;Ma-Jue;23;2;22/9/2020;23/9/2020 00:39;23;Ordinario;ELECTRONICA;Jose Mauricio Rivera Mejia;Escuela de Informática;Facultad de Informática y Ciencias Aplicadas,
ILUS-DG_01_02-2020;P;ILUS-DG;ILUSTRACIÓN;1;18:40-20:10;Ma-Jue;66;2;22/9/2020;23/9/2020 00:45;62;Ordinario;DISEÑO GRAFICO;Frederick Ludwing Orellana;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
ETMO-I_01_02-2020;P;ETMO-I;ESTUDIO DEL TRABAJO II;1;18:40-20:10;Ma-Jue;24;2;22/9/2020;23/9/2020 00:56;21;Ordinario;PROCESOS INDUSTRIALES;Augusto Antonio Villalta;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
DISI-T_01_02-2020;P;DISI-T;DISEÑOS DE SISTEMAS INDUSTRIALES;1;18:40-20:10;Ma-Jue;105;2;22/9/2020;23/9/2020 02:42;105;Ordinario;PROCESOS INDUSTRIALES;Augusto Antonio Villalta;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
MATE-E_02_02-2020;P;MATE-E;MATEMATICA I;2;08:00-09:30;Ma-Jue;84;2;22/9/2020;23/9/2020 02:55;80;Ordinario;MATEMATICAS Y FISICA;Genaro Antonio Hernandez Lemus;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
ETPS4-T_01_02-2020;P;ETPS4-T;NORMAS Y ESTÁNDARES INTERNACIONALES;1;18:40-20:10;Ma-Jue;61;2;22/9/2020;23/9/2020 03:12;58;Ordinario;DESARROLLO DE SISTEMAS;Jose Oswaldo Barrera Montes;Escuela de Informática;Facultad de Informática y Ciencias Aplicadas,
ETS2-T_01_02-2020;P;ETS2-T;DESARROLLO DE REDES DE DATOS II;1;18:40-20:10;Ma-Jue;70;2;22/9/2020;23/9/2020 05:33;68;Ordinario;REDES;Oscar Bertony Pineda;Escuela de Informática;Facultad de Informática y Ciencias Aplicadas,
ADRE-I_01_02-2020;P;ADRE-I;ADMINISTRACION DE REDES;1;18:40-20:10;Lu-Mie;35;1;23/9/2020;24/9/2020 06:58;1;Diferido;REDES;Oscar Bertony Pineda;Escuela de Informática;Facultad de Informática y Ciencias Aplicadas,
MPRO-I_02_02-2020;P;MPRO-I;METODOS PROBABILISTICOS ;2;18:40-20:10;Ma-Jue;90;2;22/9/2020;24/9/2020 18:21;87;Ordinario;MATEMATICAS Y FISICA;Genaro Antonio Hernandez Lemus;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
ESA2-AC_01_02-2020;P;ESA2-AC;EST. Y ASISMICIDAD II;1;18:40-20:10;Ma-Jue;30;2;22/9/2020;23/9/2020 05:58;30;Ordinario;ARQUITECTURA;Victor Manuel Merino Rivas;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
MATF-I_09_02-2020;P;MATF-I;MATEMATICA FINANCIERA;9;08:00-09:30;Ma-Jue;63;2;22/9/2020;7/10/2020 05:19;59;Ordinario;MATEMATICAS Y FISICA;Genaro Antonio Hernandez Lemus;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
PEST-H_02_02-2020;P;PEST-H;PSICO-ESTADISTICA;2;18:40-20:10;Ma-Jue;83;2;22/9/2020;7/10/2020 05:19;74;Ordinario;MATEMATICAS Y FISICA;Genaro Antonio Hernandez Lemus;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
MAT3-T_02_02-2020;P;MAT3-T;MATEMATICA III;2;18:40-20:10;Ma-Jue;60;2;22/9/2020;23/9/2020 06:01;57;Ordinario;MATEMATICAS Y FISICA;Genaro Antonio Hernandez Lemus;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
EPRO-I_02_02-2020;P;EPRO-I;ESTANDARES DE PROGRAMACIÓN;2;18:40-20:10;Ma-Jue;66;2;22/9/2020;23/9/2020 06:01;63;Ordinario;DESARROLLO DE SISTEMAS;Jose Oswaldo Barrera Montes;Escuela de Informática;Facultad de Informática y Ciencias Aplicadas,
CRED-AC_01_02-2020;P;CRED-AC;CREATIVIDAD EDITORIAL;1;18:40-20:10;Ma-Jue;59;2;22/9/2020;23/9/2020 06:02;51;Ordinario;DISEÑO GRAFICO;Frederick Ludwing Orellana;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
MAT1-T_05_02-2020;P;MAT1-T;MATEMATICA I;5;18:40-20:10;Ma-Jue;28;2;22/9/2020;23/9/2020 06:02;26;Ordinario;MATEMATICAS Y FISICA;Genaro Antonio Hernandez Lemus;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
MATE-E_11_02-2020;P;MATE-E;MATEMATICA I;11;08:00-09:30;Ma-Jue;61;2;22/9/2020;23/9/2020 06:06;60;Ordinario;MATEMATICAS Y FISICA;Genaro Antonio Hernandez Lemus;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
IMPR-DG_01_02-2020;P;IMPR-DG;IMPRESIÓN Y PRODUCCIÓN GRÁFICA;1;18:40-20:10;Ma-Jue;49;2;22/9/2020;23/9/2020 06:10;49;Ordinario;DISEÑO GRAFICO;Frederick Ludwing Orellana;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
ESTE-E_06_02-2020;P;ESTE-E;ESTADISTICA;6;18:40-20:10;Ma-Jue;62;2;22/9/2020;23/9/2020 06:12;59;Ordinario;MATEMATICAS Y FISICA;Genaro Antonio Hernandez Lemus;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
TER2-T_01_02-2020;P;TER2-T;TECNOLOGIA CERTIFICADA EN REDES II;1;08:00-09:30;Ma-Jue;20;2;22/9/2020;23/9/2020 06:14;16;Ordinario;REDES;Oscar Bertony Pineda;Escuela de Informática;Facultad de Informática y Ciencias Aplicadas,
PRAR2-AC_01_02-2020;P;PRAR2-AC;PRESENTACION ARQUITECTONICA II;1;08:00-09:30;Ma-Jue;51;2;22/9/2020;23/9/2020 06:26;49;Ordinario;ARQUITECTURA;Victor Manuel Merino Rivas;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
PRAR2-AC_01_02-2020;P;PRAR2-AC;PRESENTACION ARQUITECTONICA II;1;08:00-09:30;Ma-Jue;51;1;23/9/2020;23/9/2020 06:28;1;Diferido;ARQUITECTURA;Victor Manuel Merino Rivas;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
ESTE-E_04_02-2020;P;ESTE-E;ESTADISTICA;4;18:40-20:10;Ma-Jue;96;2;22/9/2020;23/9/2020 06:51;95;Ordinario;MATEMATICAS Y FISICA;Genaro Antonio Hernandez Lemus;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
EI-I_02_02-2020;P;EI-I;ESTADISTICA Y PROBABILIDADES;2;18:40-20:10;Ma-Jue;52;2;22/9/2020;23/9/2020 06:52;51;Ordinario;MATEMATICAS Y FISICA;Genaro Antonio Hernandez Lemus;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
MYTI-I_04_02-2020;P;MYTI-I;METODOLOGIA Y TECNICAS DE LA INVESTIGACION;4;18:40-20:10;Ma-Jue;33;2;22/9/2020;23/9/2020 06:52;32;Ordinario;PROCESOS INDUSTRIALES;Augusto Antonio Villalta;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
CIDI-I_02_02-2020;P;CIDI-I;SISTEMAS DIGITALES;2;18:40-20:10;Ma-Jue;61;2;22/9/2020;23/9/2020 06:54;59;Ordinario;ELECTRONICA;Jose Mauricio Rivera Mejia;Escuela de Informática;Facultad de Informática y Ciencias Aplicadas,
CIDI-I_02_02-2020;P;CIDI-I;SISTEMAS DIGITALES;2;18:40-20:10;Ma-Jue;61;1;23/9/2020;23/9/2020 06:54;3;Diferido;ELECTRONICA;Jose Mauricio Rivera Mejia;Escuela de Informática;Facultad de Informática y Ciencias Aplicadas,
